summary,interest,property,metadata
"가정교육과의 교육과정은 크게 아동학, 가정관리학, 의류학, 식품학, 영양학, 주거학, 교과교육 분야로 나누어지고 생활의 과학화 및 생활 개선을 목표로 여러 기초 과학의 원리를 응용하고 통합하여 실천할 수 있는 학습 기회를 제공합니다. 가정교육과는 학문과 인성을 두루 갖추고 청소년들이 건강한 가정생활을 영위할 수 있도록 조력자의 역할을 수행할 수 있는 가정과 교사를 양성하는 것을 목표로 하고 있습니다.","평소 친구, 가족, 주변 사람 등 사람에 대해 관심이 많거나 주변 사람의 고민을 들어 주는 상담에 흥미가 있다면 이 학과에 관심을 가져 볼 만합니다. 특히 인간에 대한 사랑과 타인에 대한 배려, 봉사 정신 등이 있다면 학과 공부에 도움이 됩니다. 기술ㆍ가정 교과목이나 심리 및 교육에 적성이 있다면 도움이 됩니다.","영양학, 의류학, 주거학, 가족학 등의 교과내용학을 배웁니다. 가정과교육론, 가정과교수법 등의 교과교육학에 대한 전문적인 지식을 배웁니다. 조리실습, 의복구성실습, 주거실습 등을 통해 가정교과에 대한 이론적인 지식뿐 아니라 서양의복 구성, 한국 조리 및 서양 조리 실습, 조리과학 등의 실험ㆍ실습 교과목을 통하여 실천적 능력을 함양합니다.","{""majorSeq"": 10006, ""major"": ""가정교육과"", ""salary"": 188.2, ""employment"": ""40 % 이상"", ""job"": ""가정복지사, 가족상담사, 가족생활교육사, 건강가정사, 대학교수, 소비자상담사, 소비자전문가, 식품공학기술자, 심리상담사, 아동발달전문가, 영양교사, 영양사, 의류기사, 조리기능사, 중등학교교사"", ""qualifications"": ""가정복지사, 가정생활교육사, 가족상담사, 의류산업기사, 중등학교2급정교사"", ""universities"": ""고려대학교:가정교육과 | 동국대학교:가정교육과 | 성신여자대학교:소비자생활문화산업학과 | 배재대학교:가정교육과 | 경북대학교:가정교육과 | 광주교육대학교:실과교육과(심화전공) | 전남대학교:가정교육과 | 조선대학교:가정교육과 | 가톨릭대학교:소비자주거학전공 | 가톨릭대학교:소비자주거학과 | 강원대학교:가정교육과 | 한국교원대학교:가정교육과 | 원광대학교:가정교육과 | 전주교육대학교:실과교육과(심화전공) | 전주대학교:가정교육과 | 동국대학교 WISE캠퍼스:가정교육과 | 경남대학교:가정교육과 | 진주교육대학교:실과교육과(심화전공)""}"
"건설공학교육과는 건축, 토목 등 최첨단 산업의 근간이 되는 공학 기술과 이론 및 관련 교육학을 기본으로 하며, 건설실무에 종사할 건설 기능 인력을 양성할 수 있도록 일반교육학, 교과교육학, 건축 및 토목 관련 교과 내용학과 실험실습과목 등을 병행하여 학습하고 있습니다. 이를 통해 건설공학교육과는 건축, 토목 공학 분야의 인력을 지도할 교사 및 공업 교육 전문가를 양성합니다.","건축과 토목에 대한 관심을 바탕으로 재료에 대한 특성에 적성이 있고 기본적으로 수학이나 물리학 과목에서 다루는 수식을 계산하는 것을 좋아하는 학생들에게 적합합니다. 특히 건축, 토목, 도로, 항만, 시설, 구조학 등과 같은 분야에 흥미가 있으면 좋습니다. 새로운 것에 호기심이 많고 궁금증을 풀기 위해 끝까지 노력하는 성격이면 더욱 좋습니다. 복잡한 시스템의 구조를 정확하게 분석하고 잘 이해할 수 있는 능력이 있으면 유리합니다.",건설공학교육과는 건설공학분야 교사 및 전문가로서 지식과 역량을 갖출 수 있도록 건설공학 전반에 대한 교과이론 및 NCS 기반 실험실습을 교육하고 건설에 대한 이론과 실무 능력을 배양하며 일반교육학 및 교과교육학 이수를 통해 교직에 대한 종합적인 이해와 교육관을 가진 교육전문가로서 능력을 함양하게 하여 건설공학 교육분야를 이끌어나갈 우수한 교사를 양성하고 교육 전문가 및 건설공학 현장 전문가로서 기술을 학습합니다.,"{""majorSeq"": 21002, ""major"": ""건설공학교육과"", ""salary"": 236.0, ""employment"": ""60 % 이상"", ""job"": ""건축공학기술자, 건축기술자, 건축및토목관련공무원, 도시계획기사, 수질환경기사, 중등학교교사, 토목감리원, 토목기술자, 토목제도사"", ""qualifications"": ""건설안전기사, 건축구조기술사, 건축기계설비기술사, 건축기사, 건축품질시험기술사, 중등학교2급정교사, 측량및지형공간정보기술사, 토목구조기술사, 토목기사, 토목품질시험기술사, 토질및기초기술사"", ""universities"": ""충남대학교:건설공학교육과""}"
"정보기반사회ㆍ지식기반사회로 발전해가는 현대사회에 발맞춰 과학 교사를 양성하기 위한 공부를 합니다. 사람의 경우 산소 없이 5분이 지나면 뇌사 상태에 빠지고, 8분이 되면 사망한다고 합니다. 사람에게 이렇게 중요한 산소는 자연으로부터 옵니다. 과학교육과는 자연 내 사물의 구조나 성질, 운동 방식 등 보편적인 진리나 법칙에 대해서 배우는 곳입니다. 물리, 지구 과학, 화학, 생물 등 자연과 관련을 맺고 있는 교과목을 가르치는 교사를 양성합니다.","학생들을 가르치는 일을 하게 될 가능성이 높으므로 누군가를 가르치면서 기쁨을 느끼거나 흥미를 느끼는 학생들에게 적합합니다. 과학과 밀접한 관련을 맺고 있는 과목들을 배우기에 평상시 사물을 꼼꼼하게 관찰하는 능력이 높으면 좋습니다. 논리적으로 사고할 수 있는 능력과 수리력도 있으면 도움이 됩니다. 과학교육을 전공하고자 하는 학생은 자연현상에 대한 많은 호기심과 관심, 풍부한 창의력과 관찰력, 논리적인 사고력, 다른 사람의 견해를 받아들일 수 있는 포용성이 필요합니다.","학생들에게 창의적인 사고 능력을 키워 줄 수 있고, 알고 있는 지식을 효과적으로 전달할 수 있는 교육학적 방법론에 대한 공부를 합니다. 현재 물리, 생명과학, 공통과학 교사 양성을 중심으로 하고 있습니다. 탁월한 전문성이 있는 중ㆍ고등학교 과학교사, 과학교육연구자 및 학교 밖 과학교육전문가를 양성하기 위하여 과학 내용지식 뿐만 아니라 과학교과교육지식과 교수 실무능력을 함양합니다.","{""majorSeq"": 44, ""major"": ""과학교육과"", ""salary"": 188.2, ""employment"": ""40 % 이상"", ""job"": ""과학강사, 과학관련기자, 과학관큐레이터, 과학출판물및교재개발자, 사범계열교수, 연구원, 중등학교교사, 학원강사"", ""qualifications"": ""중등학교2급정교사"", ""universities"": ""이화여자대학교:과학교육과 | 부산교육대학교:과학교육과 | 광주교육대학교:과학교육과(심화전공) | 단국대학교:과학교육과 | 강원대학교:과학교육학부 | 충북대학교:과학교육학부 | 전북대학교:과학교육학부 | 전주교육대학교:과학교육과(심화전공) | 전주대학교:과학교육과 | 경남대학교:과학교육과 | 진주교육대학교:과학교육과(심화전공)""}"
"최근 우리나라에서 디지털 교과서를 활용한 수업이 세계 최초로 이루어졌습니다. 각종 첨단기기, 앱, SNS를 통한 스마트러닝은 교육 현장을 빠르게 변화시키고 있습니다. 교육공학과는 보다 나은 교육 환경과 방법을 만들기 위해 다양한 이론과 기술을 연구합니다. 또, 학습자의 창의적 학습을 위한 교육 프로그램을 설계ㆍ개발하는 전문가를 양성합니다.","교육공학은 각종 교육 프로그램을 개발하여 교육 현장의 문제를 해결하는 실천적인 학문이며, 교육을 통해 사람을 변화시키는 것을 목적으로 합니다. 따라서 다양한 교육 문제에 대한 관심이 필요하며, 인간을 존중하는 태도를 갖는 것이 중요합니다. 첨단 기술에 대한 학습을 위해 수학적 재능, 논리적 사고력, 과학적 응용력을 갖춘 학생에게 유리합니다.","교육공학과는 효율적인 교육을 위해 교육에 첨단 기술을 도입하며, 심리학, 경영학, 커뮤니케이션 이론 등 다양한 이론을 연구합니다. 또한 교육 방법의 첨단화ㆍ정보화를 통한 혁신적인 교육을 추구합니다. 교육공학과에서는 교육학 이론을 학습함과 동시에 첨단 기자재를 통한 연구와 실습을 통해 새로운 지식과 기술을 습득합니다.","{""majorSeq"": 57, ""major"": ""교육공학과"", ""salary"": 191.9, ""employment"": ""60 % 이상"", ""job"": ""교육학연구원, 교재및교구개발자, 반도체공학기술자, 시스템소프트웨어개발자, 응용소프트웨어개발자, 이공학계열교수, 일반공무원, 전자공학기술자, 통신공학기술자"", ""qualifications"": ""사회조사분석사, 중등학교2급정교사"", ""universities"": ""건국대학교:교육공학과 | 이화여자대학교:교육공학과 | 한양대학교:교육공학과 | 한양사이버대학교:플랫폼교육공학과 | 한양사이버대학교:교육공학과 | 국립경국대학교:교육공학과 | 대구가톨릭대학교:첨단산업학부""}"
"교육을 뜻하는 단어 education은 이끌어낸다는 의미의 라틴어 educare에서 유래되었습니다. 교육은 개인의 무한한 가능성을 끌어냄으로써 국가발전에 기여합니다. 교육학과는 교육에 대한 학문적 이론과 학교 현장에서의 실습을 제공합니다. 또, 다양한 분야에서 교육 활동을 담당하며, 교육 현장의 각종 문제를 해결하는 교육 전문가를 양성합니다.","교육은 가르치고 배우는 과정을 통해 인간의 성장ㆍ발달을 돕는 활동입니다. 따라서 사람에 대한 이해와 애정, 타인의 가치와 잠재력을 존중하는 자세가 중요합니다. 평소 교육 정책을 비롯한 교육 문제와 청소년 문제에 대한 관심이 필요합니다. 또, 원활한 교육 활동을 위한 정확한 언어 구사 능력 및 정직성과 리더십을 갖춘 학생에게 적합한 분야입니다.","교육학과는 학교 현장에서 학생들을 교육하는 데 필요한 수업 방식 및 각종 교육 이론과 정책을 분석합니다. 또, 인간과 사회에 대한 종합적인 이해를 통해 교육 현상을 연구합니다. 따라서 심리학, 철학, 사회학 등 다양한 학문에 대한 폭넓은 학습이 필요합니다. 교육학은 기업 교육, 상담 교육, 영재 교육,사이버 교육 등 사회의 여러 분야에 적용됩니다.","{""majorSeq"": 59, ""major"": ""교육학과"", ""salary"": 191.9, ""employment"": ""60 % 이상"", ""job"": ""교육학연구원, 교육행정사무원, 교재및교구개발자, 대학교수, 사이버교육운영자, 심리상담사, 언어치료사, 유치원교사, 일반공무원, 임상심리사, 직업능력개발훈련교사, 직업상담사, 초ㆍ중등학교교사, 출판물기획자, 학원강사"", ""qualifications"": ""논술지도사, 사회조사분석사, 상담심리사, 중등학교2급정교사, 직업상담사, 청소년지도사, 평생교육사"", ""universities"": ""건국대학교:교직과 | 고려대학교:교육학과 | 고려사이버대학교:인재개발학부 | 국민대학교:교육학과 | 덕성여자대학교:교직학부 | 동국대학교:교육학과 | 상명대학교:교육학과 | 서울대학교:교육학과 | 서울디지털대학교:평생교육전공 | 서울여자대학교:교육심리학과 | 성균관대학교:교육학과 | 성균관대학교:사범대학 | 성신여자대학교:교육학과 | 세종대학교:교육학과 | 숙명여자대학교:교육학부 | 숭실대학교:교직과정 | 숭실대학교:평생교육학과 | 숭실사이버대학교:평생교육상담학과 | 연세대학교:교육학전공 | 연세대학교:교육학부 | 이화여자대학교:교육학과 | 중앙대학교:교육학과 | 총신대학교:교직과 | 한국방송통신대학교:청소년교육과 | 한국방송통신대학교:교육학과 | 한국방송통신대학교:교육과 | 한국외국어대학교:사범대학 | 한국외국어대학교:외국어교육학부 | 한국외국어대학교:중국어교육과 | 한국외국어대학교:중국어교육전공 | 한양대학교:교육학과 | 홍익대학교:교육학과 | 경성대학교:교육학과 | 국립부경대학교:평생교육ㆍ상담학전공 | 국립부경대학교:평생교육·상담학과 | 국립한국해양대학교:교직과 | 동아대학교:교육학과 | 동의대학교:평생교육·청소년상담학과 | 부산교육대학교:교육학과 | 부산대학교:교육학과 | 신라대학교:교육학과 | 연세대학교:교육과학계열 | 인하대학교:교육학과 | 건양사이버대학교:온라인평생교육학과 | 건양사이버대학교:이러닝콘텐츠교육학과 | 목원대학교:교직과 | 충남대학교:교육학과 | 한국침례신학대학교:사범학부 | 한남대학교:교육학과 | 경북대학교:교육학과 | 계명대학교:교육학과 | 광주교육대학교:교육학과(심화전공) | 광주여자대학교:교양교직과정부 | 전남대학교:교육학과 | 조선대학교:교육학과 | 가톨릭대학교:교직과 | 강남대학교:교육학과 | 경기대학교:교직학부 | 국제사이버대학교:평생교육전공 | 국제사이버대학교:평생교육학과 | 단국대학교:교직교육과 | 대진대학교:교직과 | 대진대학교:휴먼케어평생교육학과 | 성결대학교:교직부 | 중부대학교:교직과(창의) | 가톨릭관동대학교:교직과 | 강원대학교:교육학과 | 국립강릉원주대학교:교직과정부 | 상지대학교:평생교육상담학과 | 상지대학교:평생교육융합계열 | 건국대학교 글로컬캠퍼스:교직과 | 국립한국교통대학교:교직부 | 극동대학교:인재개발학부 | 서원대학교:교육학과 | 서원대학교:사범대학 | 청주대학교:교직과 | 충북대학교:교육학과 | 한국교원대학교:중국어교육과 | 한국교원대학교:교육학과 | 국립공주대학교:교육학과 | 중부대학교:교직과 | 국립군산대학교:교직과 | 우석대학교:교육학과 | 원광대학교:교육학과 | 전북대학교:교육학과 | 전주대학교:교육학과 | 국립목포대학교:교육학과 | 국립순천대학교:교직과 | 세한대학교:창업평생교육학과 | 세한대학교:교직과 | 경일대학교:평생교육학부 | 대구가톨릭대학교:교육학과 | 대구대학교:미래융합학부(평생교육・청소년학전공) | 대구한의대학교:평생교육경영전공 | 대구한의대학교:평생교육복지전공 | 대구한의대학교:평생교육융합학부 | 영남대학교:교육학과 | 영남대학교:글로벌교육학부 | 영남사이버대학교:평생교육학과 | 경남대학교:교육학과 | 경상국립대학교:교육학과 | 진주교육대학교:교육학과(심화전공)""}"
"우리가 매일 접하는 모국어와 문학은 모든 학문의 기초라 할 수 있습니다. 국어교육과에서는 올바른 인성과 국어학, 국문학 등에 대한 지식을 바탕으로 학생들에게 국어 교육을 할 수 있는 인재를 양성합니다.","중ㆍ고등학교에서 배우는 국어 관련 여러 과목을 즐겨 공부했거나, 책 읽는 것을 좋아하고 우리 문화와 예술에 관심과 흥미가 있다면 이 학과의 문을 두드려 볼 만합니다. 국어학에 대해 배우므로 언어적 구조를 공부할 수 있는 기본적인 언어 감각과 논리적 사고력, 분석력을 갖추면 도움이 됩니다. 또, 문학 작품을 비평적으로 읽고 분석하는 능력도 필요합니다. 사람을 가르치는 일을 하므로 상대방에 대한 배려와 공감, 이해 능력이 높으면 도움이 됩니다.","최근 세계 각국에 한류 열풍이 일면서 한국 문화를 선도적으로 알리는 국어교육과의 역할이 중요해지고 있습니다. 또한 스토리텔링과 문화 콘텐츠의 열풍에서 알 수 있듯이, 창의적 글쓰기가 중요한 시대에 살고 있어 이와 같은 시대에 중요한 역할을 할 수 있을 것입니다.","{""majorSeq"": 68, ""major"": ""국어교육과"", ""salary"": 178.8, ""employment"": ""40 % 이상"", ""job"": ""교육공무원, 국어교사, 기자, 독서치료사, 방송작가, 사범계열교수, 언어치료사, 언어학연구원, 작가, 통번역가, 평론가, 한국어강사"", ""qualifications"": ""사서, 중등학교2급정교사"", ""universities"": ""경희사이버대학교:한국어교육전공 | 고려대학교:국어교육과 | 덕성여자대학교:한국어교육전공 | 동국대학교:국어교육과 | 디지털서울문화예술대학교:한국어교육학과 | 상명대학교:국어교육과 | 서울대학교:국어교육과 | 숭실사이버대학교:한국어교육학과 | 이화여자대학교:국어교육과 | 한국외국어대학교:한국어교육과 | 한양대학교:국어교육과 | 홍익대학교:국어교육과 | 고신대학교:한국어교육학과 | 동명대학교:한국어교육전공 | 부산교육대학교:국어교육과 | 부산대학교:국어교육과 | 부산외국어대학교:한국어교육전공 | 부산외국어대학교:한국어교육학과 | 신라대학교:국어교육과 | 화신사이버대학교:한국어교육학과 | 인천대학교:국어교육과 | 인하대학교:국어교육과 | 목원대학교:국어교육과 | 충남대학교:국어교육과 | 한남대학교:국어교육과 | 경북대학교:국어교육과 | 계명대학교:한국어교육과 | 계명대학교:한국어교육전공 | 계명대학교:국어교육과 | 광신대학교:한국어교육학과 | 광주교육대학교:국어교육과(심화전공) | 광주대학교:한국어교육과 | 광주여자대학교:한국어교육학과 | 송원대학교:한국어교육과 | 전남대학교:국어교육과 | 조선대학교:국어교육과 | 국제사이버대학교:한국어교육전공 | 가톨릭관동대학교:국어교육과 | 강원대학교:국어교육과 | 상지대학교:한국어교육학과 | 서원대학교:국어교육과 | 서원대학교:한국어교육전공 | 청주대학교:국어교육과 | 충북대학교:국어교육과 | 한국교원대학교:국어교육과 | 국립공주대학교:국어교육과 | 우석대학교:국어교육과 | 원광대학교:국어교육과 | 전북대학교:국어교육과 | 전주교육대학교:국어교육과(심화전공) | 전주대학교:국어교육과 | 국립순천대학교:국어교육과 | 국립경국대학교:국어교육과 | 대구가톨릭대학교:국어교육과 | 대구가톨릭대학교:한국어교육전공 | 대구대학교:국어교육과 | 대구대학교:한국어교육학부 | 대구대학교:한국어교육학부(한국어교육전공) | 영남대학교:국어교육과 | 경남대학교:국어교육과 | 경상국립대학교:국어교육과 | 진주교육대학교:국어교육과(심화전공) | 제주대학교:국어교육과""}"
"기계ㆍ재료공학교육과 기계분야, 재료분야, 메카트로닉스분야, 자동차분야, 첨단제조분야 등의 기계 및 재료 관련 여러 분야에서 21세기 첨단 산업 기술 시대에 능동적으로 대처하기 위한 창의적이고 실무적인 공학 기술 인력을 양성할 수 있는 이론과 실무를 겸비한 공업계 고교 교사, 공업 및 공학 교육 전문가, 기업 교육전문가 양성 및 기계, 재료 관련 연구 및 개발 전문가를 양성합니다.","기계공학적 원리나 기계요소에 대한 관심을 바탕으로 재료에 대한 특성에 적성이 있고 수학이나 물리학 과목에대한 흥미가 있는 학생들에게 적합합니다. 특히 기계, 재료, 자동차, 선박 등과 같은 메카니즘에 궁금증이 있으면 더욱 좋습니다. 새로운 기계나 제품의 원리에 호기심이 많고 동작이 잘 되지 않는 기계를 조립하거나 수리하는 등 문제해결에 대한 강한 해결력을 갖고자하는 의욕이 있으면 좀 더 적합할 것입니다.","기계ㆍ재료공학교육과는 우수한 기계와 재료 공업 분야 교사 및 교육 전문가로서 지시기과 역량을 갖출 수 있도록 기계와 재료 공학 전반에 대한 이론 및 실험실습 교과를 교육하고 이를 바탕으로 전공에 대한 이론과 실무 능력을 배양하고 있습니다. 또한 교육학 이수를 통하여 교직에 대한 종합적인 이해와 투철한 교육관을 가진 교육전문가로서 능력을 함양하게 하여 공업 및 공학 교육 분야를 이끌어 나갈 우수한 교사, 교수 및 교육전문가, 기업교육전문가로서 성장하도록 전공지식을 습득합니다.","{""majorSeq"": 21006, ""major"": ""기계ㆍ재료공학교육과"", ""salary"": 236.0, ""employment"": ""60 % 이상"", ""job"": ""기계및재료관련대기업및중소기업회사원, 기계및재료관련연구원, 기계재료관련공무원, 기업교육전문가, 중등학교교사"", ""qualifications"": ""건설기계기사, 건설기계기술사, 건설기계정비기사, 공조냉동기계기술사, 금속가공기술사, 금속기사, 금속재료기술사, 비철야금기술사, 용접기사, 일반기계기사, 자동차검사기사, 자동차검사기사, 자동차정비기사, 중등학교2급정교사, 표면처리기술사"", ""universities"": ""충남대학교:기계공학교육과 | 충남대학교:기계・재료공학교육과 | 충남대학교:기계・금속공학교육과 | 국립경국대학교:기계교육과""}"
"공학(Engineering)은 발명ㆍ고안ㆍ창안하다는 뜻의 라틴 어 ingenerare에서 유래하였습니다. 공학교육과는 기계, 컴퓨터, 금속, 전기 등 다양한 이론을 공부하며, 각 교과목에 대한 기초적인 지식을 배우고 그 지식을 학생들에게 효과적으로 전달할 수 있는 방법에 대해서 공부합니다. 공학교육과는 앞으로 미래의 최첨단 산업을 이끌어 갈 우리나라의 꿈나무들을 교육시킬 수 있는 인재를 양성하는 곳입니다.","과학, 수학 등의 이공계 기초 과목을 공부하는 것을 좋아해야 합니다. 그리고 학생들을 만나고 가르치는 일에 흥미가 있어야 합니다. 공학과 관련된 과목들을 공부하기 위해서 논리적인 사고력, 수리력, 사물을 예리하게 관찰할 수 있는 능력이 높으면 좋습니다.",현대 산업 사회에서 가장 중요한 기계ㆍ전자ㆍ컴퓨터 등의 기술을 연구하고 공부하는 학과입니다. 기술을 계속해서 발전시키기 위해서는 공학 분야의 인재를 많이 길러 배출하는 것이 중요합니다. 따라서 앞으로도 점점 더 확대될 것으로 예상됩니다.,"{""majorSeq"": 32, ""major"": ""기술교육과"", ""salary"": 188.2, ""employment"": ""40 % 이상"", ""job"": ""공학계열교수, 교육학연구원, 교육행정사무원, 교재및교구개발자, 기업체연구원및기술직, 중등교사, 직업능력개발훈련교사, 컴퓨터교사"", ""qualifications"": ""중등학교2급정교사"", ""universities"": ""충남대학교:기술교육과 | 한국교원대학교:기술교육과 | 국립공주대학교:기술・가정교육과 | 국립공주대학교:문헌정보교육과 | 세한대학교:기술교육과""}"
"농업교육과는 산업 측면에서의 농업의 성질이 변화함에 따라 더욱 주목 받고 있습니다. 최근 학교교육과 사회교육의 유기적인 관계가 강조되고, 농업이 생산 중심의 1차 산업에서 전 산업을 아우르는 종합산업으로 바뀌었기 때문입니다. 농업교육과에서는 농촌지역의 개발에 신념을 가지고 봉사할 농업과 교사를 양성합니다. 또한 첨단 농업 및 생명과학 관련 산업현장에서 창조적으로 활동할 전문가 및 지도자를 키우는 것에 교육목표를 두고 있습니다.",식물과 동물에 대한 관심이 높으며 자연과 어우러지는 활동을 좋아하며 실습 위주의 학습을 좋아한다면 지원해도 좋습니다. 또한 올바른 인성과 우리나라 농업의 발전을 위해 헌신하겠다는 사명감을 갖추어면 더욱 좋습니다.,"농업교육과는 식물자원, 동물자원의 전공 이론을 체계적으로 학습하고 영농실습, 학과전시회, 농업 관련 자격증 취득 및 실습을 통해 이론과 실습이 조화로운 교육을 실시합니다. 교육현장에서 꼭 필요로 하는 교사 양성을 위해 노력할 뿐만 아니라, 농업교육이 나아가야 할 방향을 제시하고 교사의 전문적인 자질을 높이는데 최선의 노력을 다하고 있습니다.","{""majorSeq"": 108, ""major"": ""농업교육과"", ""salary"": 188.2, ""employment"": ""40 % 이상"", ""job"": ""농업계열교사, 농업기술자, 자연ㆍ공학계열교수, 한국농촌경제연구원, 환경정책평가연구원"", ""qualifications"": ""중등학교2급정교사"", ""universities"": ""국립순천대학교:농업교육과""}"
"독일어교육과는 중ㆍ고등학교 독일어 교육에 필요한 지식들을 습득 및 연구하도록 하여 훌륭한 자질의 독일어 교사를 양성합니다. 독일어교육과는 독일어의 실용능력 및 독일의 역사, 문화, 경제, 사회 등 독일의 선진문화를 이해하고 습득하고자 합니다. 이를 바탕으로 학교에서 독일어를 가르칠 교사뿐만 아니라 독일과의 다양한 교류에 필요한 역량 있는 인적 자원 양성에 교육 목표를 두고 있습니다.","유명한 데미안의 헤세, 젊은 베르테르의 슬픔의 괴테 모두 독일 출신 문학가들입니다. 이처럼 주옥같은 문학들을 원어로 읽고 분석하는 데에 관심이 있거나 독일어ㆍ독일 문화에 관심이 많다면 이 학과가 좋은 선택이 될 것입니다. 고등학교 과정에서 제2외국어를 독일어로 선택하여 두각을 나타냈거나, 비슷한 계열인 프랑스어, 영어 등에 소질이 있으면 이 학과를 전공하는 데 도움이 될 것입니다.","향후 한-유럽 연합(EU) FTA가 활성화된다면 EU의강대국인 독일의 언어를 유창하게 할 수 있는 구사가능한 인재의 수요가 늘어날 것입니다. 또, 매년 독일어 출간 서적은 전 세계 매년 출간 서적의 18%로서, 독일어를 공부하면 현대 학문의 연구 성과물들을 폭넓게 접할 수 있습니다. 따라서 독일어 능력을 발판으로 여러 학문 분야의 진출 가능성이 넓어집니다.","{""majorSeq"": 123, ""major"": ""독일어교육과"", ""salary"": 178.8, ""employment"": ""40 % 이상"", ""job"": ""무역담당자, 사범계열교수, 승무원, 언론인(기자,PD,아나운서등), 여행안내원, 외교관, 작가, 중등학교교사, 출판물기획자, 통번역가, 통역사, 학원강사"", ""qualifications"": ""중등학교2급정교사"", ""universities"": ""서울대학교:독어교육과 | 한국외국어대학교:독일어교육과 | 한국외국어대학교:독일어교육전공 | 부산대학교:독어교육과 | 경북대학교:유럽어교육학부 독어교육전공 | 조선대학교:독어교육과 | 한국교원대학교:독어교육과 | 전북대학교:독어교육과""}"
