majorSeq,major,salary,employment,summary,job,qualifications,interest,property,universities
11,건강관리학과,226.8,60 % 이상,"의학은 고도의 의학기술 발달에도 불구하고 건강에 있어 운동의 의학적 효과를 점점 더 중요시하고 있습니다. 건강관리학과는 이러한 의학적 입장에서 운동을 다룹니다. 건강관리학과에서는 성인질환의 예방과 치료, 건강과 체력증진, 재활 등 건강관리에 대한 과학적 지식을 학습합니다. 건강관리학과는 운동 프로그램 처방능력을 키우고 스트레스 관리와 합리적인 영양섭취 그리고 신체활동과 관련된 부상 등에 관해 상담 및 교육할 수 있는 지도자 양성에 교육목표를 두고 있습니다.","레크리에이션지도자, 스포츠강사, 스포츠트레이너, 운동처방사, 의무트레이너, 헬스케어컨설턴트","건강운동관리사, 노인스포츠지도사, 생활스포츠지도사, 수상구조사, 스포츠경영지도사, 유소년스포츠지도사, 장애인스포츠지도사",기본적으로 스포츠를 좋아하고 체육 교과목에 대한 관심이 있어야 합니다. 관심있는 스포츠 종목에 대한 지식과 다양한 기술을 알고 있어야 적절한 판단을 할 수 있습니다. 고객의 상태나 특성을 빠르게 분석하고 올바른 판단을 할 수 있는 능력이 요구됩니다.,"운동은 의학적인 효과를 입증 받고 있고, 국가에서도 국민의 건강과 삶의 질 향상을 위해 운동이 적극 권장되고 있습니다. 지역사회는 물론 국가차원에서도 건강증진을 위한 과학적인 운동방법(운동처방)에 대한 요구와 수요가 점점 많아지고 있습니다. 과도한 운동이나 잘못된 방식의 운동은 오히려 우리 몸에 해가될 수 있습니다. 올바른 자세로 적정한 운동을 하도록 지도하는 일은 건강관리학을 전공한 전문가의 몫입니다.",경희사이버대학교:한방건강관리학과 | 서울기독대학교:운동건강관리전공 | 서울사이버대학교:통합건강관리학과 | 한국체육대학교:운동건강관리학과 | 동아대학교:건강관리학과 | 인천대학교:운동건강학부 | 대전대학교:건강운동관리학과 | 목원대학교:스포츠건강관리학과 | 울산대학교:운동건강관리전공 | 수원대학교:운동건강관리 | 가톨릭관동대학교:스포츠건강관리학과 | 남서울대학교:스포츠건강관리학과 | 선문대학교:건강보건대학 | 중부대학교:한방건강관리학과 | 원광대학교:스포츠건강관리학과 | 원광디지털대학교:요가명상학과 | 원광디지털대학교:한방건강약선학과 | 세한대학교:스포츠건강관리학과 | 경북대학교:체육학부 건강운동관리전공 | 대구대학교:건강증진학과 | 국립창원대학교:스마트헬스케어학과 | 영산대학교:헬스케어학과 | 영산대학교:미용건강관리학과
10041,경호학과,226.8,60 % 이상,"범죄 문제는 국민의 안전과 직결되고 삶의 질을 평가하는 기준이 되지만, 범죄가 늘면서 국가 공권력만으로는 범죄에 대응하는 것에 한계를 보이고 있습니다. 이러한 기류 속에서 경호학과는 산업시설 및 공공건물의 안전관리와 국민의 생명과 재산을 보호하기 위한 안전 및 경호에 관련된 학문입니다. 따라서 경호학과는 경호 분야에 관한 이론과 실무를 겸비한 경호 인력을 양성하고 있습니다.","경찰관, 교도관, 스포츠강사, 경비업체요원, 소방공무원, 안전순찰원, 직업군인(장교, 부사관)","경비지도사, 기계경비지도사, 생활스포츠지도사","신체가 건강하고 의협심이 강한 사람에게 적합합니다. 운동신경이 좋아야 하며, 정확한 판단력과 순발력이 있어야 합니다. 남에 대한 배려, 리더십, 분석적 사고 등도 중요합니다. 무도 중심의 과목들만 배울 뿐만 아니라 이론과목도 공부하므로 사회과학 분야에 대한 지식도 필요합니다.","사회가 개방화, 도시화, 과학화되고 정보통신이 발달하면서 과거 어느 때보다 복잡해지고 있으며, 이로 인해 각종 범죄가 증가하고 있습니다. 또, 전 세계적으로 경호의 영역이 첨단기계 경비 및 인텔리전트 빌딩 등의 관리와 각종 재해 방지로 확대되면서경호학과의 중요성이 날로 커지고 있습니다.",동서대학교:경호전공 | 동아대학교:태권도경호학과 | 광주여자대학교:무도경호학과 | 남부대학교:무도경호학과(신) | 호남대학교:태권도경호학과 | 경기대학교:시큐리티매니지먼트학과 | 용인대학교:경호학과 | 중원대학교:무예경호학과 | 중원대학교:경호학과 | 선문대학교:무도학부 무도경호전공 | 선문대학교:무도경호학과 | 선문대학교:무도경호학부 | 한서대학교:경호비서학과 | 예원예술대학교:스포츠경호무도학과 | 예원예술대학교:경호무도학과 | 호원대학교:스포츠경호학부 | 호원대학교:무도경호학부 | 호원대학교:스포츠경호학과 | 경운대학교:경호무도학전공 | 경운대학교:항공보안경호학부 | 경운대학교:항공보안학전공 | 경운대학교:경호보안학전공 | 대구예술대학교:경호보안전공 | 신경주대학교:태권도ㆍ경호탐정학과 | 경남대학교:경호보안학과
34,공업디자인학과,180,60 % 이상,"같은 기능을 가진 제품이라도 디자인이 좋은 제품은 사람들에게 더 유익하고 관심을 끌게 됩니다. 공업디자인학과는 가전제품, 정보통신기기, 자동차, 사무용품, 주방기기, 로봇 등 사람들에게 필요한 제품과 서비스를 디자인하기 위한 이론을 배우고 실습을 합니다. 공업디자인학과에서는 산업제품의 디자인을 높이고 산업의 경쟁력을 높이는 기술과 전략을 학습합니다.
산업 제품의 외형적 특질은 물론 제품의 종합적 질을 개선하여 산업의 경쟁력 우위를 확보하고 국가의 독자적인 문화를 주도할 디자이너에 대한 요구를 충족시키고자 합니다.","가구디자이너, 공공디자이너, 산업디자이너, 시각디자이너, 인테리어디자이너, 제품디자이너, 조명디자이너, 캐릭터디자이너, 컬러리스트, 컴퓨터그래픽디자이너, 환경디자이너","시각디자인기사, 웹디자인기능사, 제품디자인기사, 컴퓨터그래픽스운용기능사",예술적 안목이 있고 미적 감각과 감수성이 좋고 표현력이 우수한 사람들에게 적합한 전공입니다. 새로운 아이디어를 이끌어낼 수 있는 호기심과 관찰력이 중요합니다. 산업계의 변화 트렌드를 읽을 수 있어야 하고 디자인을 산업 기기에 적용할 수 있는 능력이 있어야 합니다.,"우수한 공업디자인의 결과물은 사용자 개인에게는 만족감을 주고 보다 편리하게 사용을 할 수 있도록 합니다. 기업에게는 이익을 높이고 기업 이미지를 높일 수 있는 효과를 가져 오고, 국가 사회적 차원으로는 국가경쟁력과 문화수준을 높여 줍니다.",국민대학교:공업디자인학과 | 국립부경대학교:공업디자인전공 | 인하대학교:디자인융합학과 | 한서대학교:디자인융합학과
39,공예디자인학과,180,60 % 이상,"우리는 생활 속에서 식기, 타일, 가구, 직물(텍스타일) 등 다양한 공예 제품과 함께 살아갑니다. 공예 디자인은 오랜 역사를 가지고 있을 뿐만 아니라 현대에서도 계속해서 발전하고 있는 분야입니다.
공업디자인과는 다양한 교과과정을 통하여 공업디자인의 복합적인 문제를 올바르게 이해하고 그 해결 방법을 효과적으로 모색할 수 있는 기량을 길러 디자인 문제를 스스로 해결해 나갈 수 있는 능력을 키웁니다.  산업현장에서 요구하는 창의력과 조형 능력, 관리 능력을 갖춤으로써 미래의 첨단 제품 디자인을 이끌어 갈 전문 디자이너가 되는 것을 교육목표로 합니다.","산업디자이너, 시각디자이너, 제품디자이너, 캐릭터디자이너, 컬러리스트","AdobeACE(Adobe제품군그래픽), AdobeACS(Adobe제품군그래픽), AutoCAD자격증, GIA(국제보석감정사), 귀금속가공산업기사, 웹디자인기능사, 제품디자인산업기사, 컴퓨터그래픽스운용기능사, 포장산업기사",다양한 환경 속에서 기능하는 다양한 생활도구나 조형물을 새로운 시각에서 디자인할 수 있는 자신만의 생각이 있어야 합니다. 새로운 아이디어를 내고 자신만의 색깔이 있는 사람에게 유리한 전공입니다. 최근에는 컴퓨터를 활용하여 디자인을 하는 것이 일반적 추세이어서 디자인 관련 컴퓨터 프로그래밍을 잘 할 수 있어야 합니다. 다양한 공예 소재에 대한 이해가 있어야 하고 생활 속의 공예품을 만들 수 있는 능력이 있어야 합니다.,‘공예’는 자기가 주도하는 디자이너이자 공예가로 평생을 함께 할 수 있는 전공입니다. 공예를 전공해 익힌 노하우와 능력의 발휘는 기업과 같은 조직에서 디자이너로서 일할 수 있을 뿐만 아니라 언제든 혼자서도 공예가로서 일할 수 있어서 평생 직업으로서의 매력이 큽니다.,서울과학기술대학교:금속공예디자인학과 | 경성대학교:공예디자인학과 | 계명대학교:공예디자인전공 | 계명대학교:공예디자인과 | 경기대학교:디자인비즈학부 | 수원대학교:공예디자인 | 예원예술대학교:귀금속보석디자인전공 | 중앙대학교:디자인학부(공예전공) | 한경국립대학교:귀금속보석공예전공 | 청주대학교:공예디자인학과 | 원광대학교:귀금속보석공예과 | 원광대학교:금속ㆍ주얼리디자인학과 | 가야대학교:귀금속주얼리학과
41,공예학과,158.2,60 % 이상,"공예는 일상생활에서 필요한 물건들의 본래 기능을 살리면서 동시에 예술적인 성취도 이루어 낼 수 있는 모든 작업을 일컫는 말입니다. 이렇듯 공예의 종류는 다양한 편인데, 가구를 제작하는 목공예와 그릇을 만드는 도자기 공예가 가장 대표적입니다. 공예학과는 금속, 도자기, 목칠, 염직 등을 재료로 일상생활에 필요한 작품 및 도구를 만드는 지식과 기술 분야를 연구하는 학문입니다. 공예학과는 공예를 통해 우리의 삶을 더욱 풍요롭게 만들어 줄 창조적인 공예인을 양성하고 있습니다.","예체능강사, 점토공예가, 제품디자이너(도자기,용기,주얼리,가구등)","가구제작기능사, 귀금속가공기능사, 금속도장기능사, 목공예기능사, 석공예기능사",예술 분야에 관심이 많고 평소에 어떤 물건이든 만들어 내는 일을 즐겨 하는 사람이라면 흥미롭게 공부할 수 있는 분야입니다. 예술 감각이 필요하며 각종 재료 및 도구를 이용하여 제품을 만들기 때문에 손재주가 있어야 합니다. 또한 훌륭한 공예품을 만들기 위해서는 전문적인 지식과 오랜 숙련된 기술이 필요한데 이것을 이루기 위해서는 상당 기간 숙련을 쌓을수 있는 인내심과 의지력이 필요합니다.,"공예학과는 조형 전반에 대한 이해를 바탕으로 공예의 각 분야를 고루 익힌 후에 도자공예, 목공예, 금속공예 등 세부 전공을 선택하여 공부합니다. 수공방식으로도 생산된다는 점에서 대량생산에만 의존하는 산업디자인과 구분되며, 일상생활과 밀접한 공예품을 제작한다는 점에서 조소와 차이가 있습니다.",동덕여자대학교:미술학부 디지털공예전공 | 동덕여자대학교:디지털공예과 | 서울대학교:공예과 | 서울사이버대학교:회화ㆍ공예학과 | 서울여자대학교:공예전공 | 서울여자대학교:공예학과 | 성신여자대학교:공예과 | 숙명여자대학교:공예과 | 동아대학교:공예학과 | 단국대학교:공예전공 | 한국전통문화대학교:전통미술공예학과 | 전북대학교:지역산업학과
49,관현악과,112.8,40 % 이상,"관현악과에서는 개인별 실기교육과 실내악, 관악, 현악합주, 관현악 등을 효율적이고 체계적으로 다룹니다.
관현악과는 일반음악이론 외에도 매 학기마다 학내연주 및 정기연주회, 실내악연주 등을 통해 연주가로서의 기술 향상과 음악적 경험의 폭을 넓혀 재능 있고 창조적인 전문 연주인을 배출하고자 합니다. 또한 음악을 통해 사회봉사를 할 수 있는 음악 교육자를 양성하는 데 교육목표를 두고 있습니다.","연주가, 작곡가, 지휘자, 음악평론가",음악심리지도사,"관현악을 배우고 연주하는 활동 자체를 즐길 수 있는 사람에게 어울리는 전공입니다. 누군가가 원해서가 아니라 자신이 진정으로 원하는 것이 음악이어야 합니다. 다양한 사람들과 잘 어울릴 수 있어야 하고, 자신의 주장을 잘 전달하고 상대방의 이야기를 잘 이해할 수 있어야 합니다.","관현악과는 크게 관악전공과 현악전공으로 나누어집니다. 관악전공은 플루트, 오보에, 클라이넷, 바순, 색소폰의  목관 파트와 호른, 트롬본, 튜바의 금관 파트 그리고 타악기 파트로 구성됩니다. 현악은 바이올린, 비올라, 첼로, 더블 베이스, 하프  전공으로 이루어집니다.",국민대학교:관현악전공 | 동덕여자대학교:관현악과 | 동덕여자대학교:음악학부 관현악전공 | 상명대학교:관현악과 | 서경대학교:관현악전공 | 서울대학교:기악과(관악전공) | 서울대학교:기악과(현악전공) | 서울대학교:관현악과 | 숙명여자대학교:관현악과 | 연세대학교:관현악과 | 이화여자대학교:관현악과 | 추계예술대학교:관현악과 | 한양대학교:관현악과 | 동아대학교:음악학과 관현악전공 | 목원대학교:관현악・작곡학부 현악전공 | 목원대학교:관현악학부 현악전공 | 목원대학교:관현악학부 관악전공 | 목원대학교:관현악・작곡학부 관악전공 | 충남대학교:관현악과 | 계명대학교:관현악과 | 계명대학교:관현악전공 | 울산대학교:관현악전공 | 단국대학교:음악학부 관현악전공 | 수원대학교:관현악과 | 중앙대학교:음악학부(관현악전공) | 협성대학교:관현악전공 | 국립군산대학교:음악과(관현악전공) | 대구가톨릭대학교:관현악과 | 영남대학교:관현악전공 | 제주대학교:관・현악전공
10140,광고디자인학과,180,60 % 이상,"광고 디자인은 현대 사회의 꽃이라고 불립니다. 같은 상품이나 서비스라도 광고 디자인에 따라서 고객에게 다가갈 수도 있고 그렇지 않을 수 있습니다.
광고디자인학과는 텔레비전, 잡지, 신문, 라디오, 포스터 등의 영상 및 인쇄매체 등 다양한 컨텐츠를 통한 광고를 디자인하는 전문 인재를 양성하는 일을 합니다. 과학적인 광고이론 교육과 인쇄매체 및 방송매체의 실무제작 교육을 통하여 창의적인 광고를 제작할 수 있는 능력을 길러냅니다.","광고디자이너, 그래픽디자이너, 시각디자이너, 웹디자이너, 일러스트레이터","시각디자인산업기사, 웹디자인기능사, 컬러리스트기사, 컴퓨터그래픽스운용기능사",새로운 콘텐츠를 만들 수 있는 창의성을 갖추고 있어야 하고 미적인 감각이 좋은 사람에게 유리합니다. 마케팅과 제품 제조 등에 대한 지식이 요구되며 컴퓨터 멀티미디어 프로그램을 원활하게 다룰 수 있는 능력을 가지고 있어야 합니다.,광고 디자인 분야에서는 이론이나 지식뿐만 아니라 좋은 광고를 만들 수 있는 실무능력이 중요합니다. 전공 공부에 있어서도 이론 수업과 아울러 실습 수업이 중요한 학과입니다.,을지대학교:의료홍보디자인학과 | 대구대학교:시각디자인융합학부(서비스마케팅디자인전공)
67,국악학과,152.4,60 % 이상,오랜 시간 우리 민족과 함께 해 온 국악은 그 어떤 것보다도 우리의 정서를 잘 표현하는 음악입니다. 국악학과는 국악의 맥을 잇고 국악의 대중화에 앞장서며 나아가 국악의 우수성을 해외에 알릴 인재를 양성합니다. 국악학과는 국악의 정신과 예술성을 근원에서부터 이해하고 국악 전반에 걸친 연주 기술을 습득합니다,"가수, 악기수리원및조율사, 중등학교교사, 지휘자",,"우리 전통 예술을 좋아하며 음악적 감수성이 풍부한 사람에게 적합합니다. 더불어 자신의 전공 악기를 선택해서 충분한 기초 교육을 받고 자신의 전공 분야에 대한 실기 능력을 탄탄히 쌓아야 합니다. 또, 피아노 등 고정 음고 악기를 통한 시창이나 청음 훈련도 중요합니다.","국악학과의 주요 분야는 가야금, 해금, 대금, 피리 등을 연주하는 연주 분야, 가곡과 판소리의 창법을 배우는 성악 분야, 동서양의 음악 이론을 토대로 새로운 국악을 창조하는 국악 작곡 분야가 있습니다. 현재 국악 분야는 전통도 되찾아야 하고 다양한 변신을 통해 세계 속으로 나아가야 합니다. 이렇듯 개척할 일도 많은 만큼 국악의 발전 잠재력은 무궁무진합니다.","동국대학교:한국음악과 | 서울대학교:국악과 | 이화여자대학교:한국음악전공 | 이화여자대학교:한국음악과 | 추계예술대학교:국악과 | 한국예술종합학교:연희과 | 한양대학교:국악과 | 부산대학교:한국음악학과 | 목원대학교:국악과 | 경북대학교:국악학과(기악전공, 성악전공,이론작곡전공) | 전남대학교:국악학과 | 단국대학교:국악과 | 단국대학교:음악학부 국악전공 | 수원대학교:국악과 | 용인대학교:국악과 | 중앙대학교:전통예술학부(연희예술전공) | 우석대학교:국악과 | 원광디지털대학교:전통공연예술학과 | 전북대학교:한국음악학과 | 동국대학교 WISE캠퍼스:한국음악과 | 신경주대학교:전통연희전공 | 영남대학교:국악및작곡전공"
78,금속공예학과,158.2,60 % 이상,"금속공예학과는 순수예술과 디자인으로서의 양면성을 가지고 있습니다. 따라서 귀금속뿐만 아니라 인간의 생활 주변을 예술적으로 승화시켜줄 수 있는 인테리어 소품에서 생활용품, 조각 작품에 이르기까지 다양한 영역을 아우릅니다. 금속공예학과는 귀금속, 비금속 보석 소재의 생활용품과 작품 등 금속공예 전 분야에 걸쳐 과학적 분석과 기법 탐구, 창조적인 조형 능력을 가진 유능한 금속공예가와 전문디자이너 및 우수 연구인력 양성에 교육목표를 두고 있습니다.","가구제품디자이너, 공예원, 귀금속및보석세공원, 금속인테리어및디스플레이, 도예가, 보석감정사, 상품기획자, 장신구가공원, 제품디자이너, 조명, 큐레이터","귀금속가공산업기사, 금속기사, 보석가공기능사, 보석감정사",금속공예를 전공하려면 정교한 손동작과 섬세함이 필요합니다. 새로운 아이디어로 새로운 공예품을 만들 수 있는 사람에게 적합한 전공입니다. 하나의 금속공예품을 만들려면 긴 시간이 필요해서 인내력과 성실성이 요구됩니다. 금속공예에 관한 지식과 이론을 충분히 습득할 수 있어야 합니다.,"금속공예학과 전공자가 진출할 수 있는 분야가는 다양합니다. 졸업생들이 금속공예가, 장신구작가, 귀금속 디자이너, 생활용품과 문화상품 디자이너, 상품기획과 유통 전문가, 화랑운영자, 큐레이터, 교육자 등으로 많은 졸업생들이 국내ㆍ외에서 활동하고 있습니다.",국민대학교:금속공예학과 | 신라대학교:주얼리디자인학전공 | 신라대학교:주얼리디자인학과 | 신라대학교:주얼리디자인전공 | 경기대학교:장신구・금속디자인전공 | 한양대학교 ERICA캠퍼스:주얼리ㆍ패션디자인학과 | 국립공주대학교:주얼리디자인전공 | 국립공주대학교:주얼리・금속디자인학과 | 대구가톨릭대학교:금속・주얼리디자인과 | 대구대학교:주얼리디자인학과
94,기악과,112.8,40 % 이상,악기가 지닌 아름다운 음색을 통해 우리에게 음악을 전달해 주는 것이 바로 기악입니다. 기악학과에서는 여러 종류의 악기를 통해 고전음악부터 현대음악에 이르기까지 다양한 장르의 음악을 연주할 수 있도록 체계적인 음악이론을 바탕으로 전통적이고 현대적인 연주기법을 익히게 됩니다. 이를 통해 기악학과는 음악성과 연주기술을 겸비한 수준 높은 연주자를 양성합니다.,"대중가수, 성악가, 악기수리원및조율사, 중등학교교사",피아노조율산업기사,"감성이 풍부하고 열성적인 사람에게 어울립니다. 하지만 예술적 재능이 중요합니다. 또한 어려서부터 악기를 다루고 항상 꾸준하게 연습해야 하므로 성실성, 인내력이 요구됩니다. 더불어 같은 곡을 같은 악기로 연주해도 연주자에 따라 전혀 다른 곡이 되므로 자신만의 감성으로 곡을 해석하는 능력이 필요합니다.","기악학과는 피아노 전공과 관현악 전공으로 구분됩니다. 관현악 전공은 바이올린, 첼로, 하프 등을 다루는 현악 분야와 플루트, 클라리넷, 호른 등을 연주하는 관악 분야, 그리고 팀파니 등 두드리는 악기 중심의 타악 분야로 분류됩니다. 악기로 다루는 것은많은 시간과 노력이 필요하므로 대부분 악기를 연주하는 사람들은 아주 어릴 때부터 시작하게 됩니다.",경희대학교:기악과 | 서울대학교:기악과 | 성신여자대학교:기악과 | 한국예술종합학교:기악과 | 목원대학교:실용음악학부 기악전공 | 한국침례신학대학교:융합실용기악과 | 가천대학교:음악학부(기악) | 단국대학교:음악학부 기악전공 | 단국대학교:기악과 | 대진대학교:기악전공 | 협성대학교:기악과 | 단국대학교:뉴뮤직학부 재즈퍼포먼스전공 | 세한대학교:기악(연주)전공 | 영남대학교:기악과 | 인제대학교:음악공연예술학과
