majorSeq,major,salary,employment,job,qualifications,chunk_field,chunk_text
17,건축공학과,235,<strong>60</strong> % 이상,"건설공사품질관리원, 건축공학기술자, 건축구조기술자, 건축사, 건축시공기술자, 리모델링컨설턴트, 이공학계열교수, 인테리어디자이너, 측량사, 캐드원","건설안전기사, 건설재료시험기사, 건축구조기술사, 건축기계정비기술사, 건축기사, 건축목재시공기능장, 건축사, 건축설비기사, 건축시공기술사, 건축일반시공기능장, 건축전기설비기술사, 도시계획기사, 수질환경기사, 실내건축기사, 지적기사, 철도보선산업기사, 토목기사",summary,"우리가 매일 보는 수많은 건축물은 어떻게 만들어진 것일까요? 건축공학은 인간이 사용하는 다양한 용도의 건축물과 공간을 만들기 위해 필요한 공학적 분야, 사회적 분야 등을 종합하여 배우는 학과입니다. 건축공학과는 공학적 지식(건축구조ㆍ시공ㆍ환경ㆍ설비ㆍ재료)과 건축 공간의 계획을 위한 기본 지식(건축계획ㆍ설계)을 습득하게 됩니다. 여러 형태의 건축물을 만들기 위하여 필요한 공간구획과 설계, 건축재료 선택,, 실제 시공에 이르는 복잡 다양한 업무를 포괄적으로 수행할 능력이 있는 건축 기술자와 전문가 양성에 목표를 두는 학과입니다.."
17,건축공학과,235,<strong>60</strong> % 이상,"건설공사품질관리원, 건축공학기술자, 건축구조기술자, 건축사, 건축시공기술자, 리모델링컨설턴트, 이공학계열교수, 인테리어디자이너, 측량사, 캐드원","건설안전기사, 건설재료시험기사, 건축구조기술사, 건축기계정비기술사, 건축기사, 건축목재시공기능장, 건축사, 건축설비기사, 건축시공기술사, 건축일반시공기능장, 건축전기설비기술사, 도시계획기사, 수질환경기사, 실내건축기사, 지적기사, 철도보선산업기사, 토목기사",interest,"평소 주변에서 흔히 볼 수 있는 다양한 건축물에 대해 관심이 있다거나. 사진 또는 그림 그리기를 좋아하는 경우 건축계획과 건축설계 과목을 배우는데 도움이 됩니다. 건축공학은 구조역학, 재료공학, 각종 시험 등 수학 및 물리적인 지식을 많이 요구하는데 학교에서 수학이나 물리, 화학 등의 과목을 잘하면 도움이 됩니다. 건축설계나 구조분석 등을 위해 Auto CAD, 3D Max, 스케치업, 레빗 등과 같은 PC용 전문 프로그램을 많이 사용하는데 평소 PC 사용에 익숙하고 새로운 프로그램을 이용 하는 것에 두려움이 없으면 도움이 됩니다."
17,건축공학과,235,<strong>60</strong> % 이상,"건설공사품질관리원, 건축공학기술자, 건축구조기술자, 건축사, 건축시공기술자, 리모델링컨설턴트, 이공학계열교수, 인테리어디자이너, 측량사, 캐드원","건설안전기사, 건설재료시험기사, 건축구조기술사, 건축기계정비기술사, 건축기사, 건축목재시공기능장, 건축사, 건축설비기사, 건축시공기술사, 건축일반시공기능장, 건축전기설비기술사, 도시계획기사, 수질환경기사, 실내건축기사, 지적기사, 철도보선산업기사, 토목기사",property,"건축공학은 우리 주변에서 흔히 볼수 있는 주택ㆍ아파트, 학교, 사무실, 스포츠 경기장 등 여러 형태와 용도를 가진 하나의 건축물이 만들어지기까지 필요한 기술과 방법을 배우는 학문이라 볼 수 있습니다. 최근에는 건축과 관련된 경제, 경영, 건설IT 등 융복합 내용까지 다루고 있습니다. 이에 반해 건축학과는 공학적 지식과 함께 인간의 문화와 역사, 예술사와 철학등을 포함한 문화ㆍ사회적인 분야까지 보다 포괄적으로 배우는 것이 다른 점이라 할 수 있습니다."
20,건축학과,226,<strong>60</strong> % 이상,"건설공사품질관리원, 건축공학기술자, 건축사, 이공학계열교수, 인테리어디자이너, 측량사, 캐드원, 건축구조기술자, 건축시공기술자, 리모델링컨설턴트","건설안전기사, 건설재료시험기사, 건축구조기술사, 건축기계정비기술사, 건축기사, 건축목재시공기능장, 건축사, 건축설비기사, 건축시공기술사, 건축일반시공기능장, 건축전기설비기술사, 도시계획기사, 수질환경기사, 실내건축기사, 지적기사, 철도보선산업기사, 토목기사",summary,"휴식과 편안함을 주는 집과 일을 하는 직장, 공부를 할 수 있는 학교와 학원, 식사와 쇼핑을 할 수 있는 상점 등에서 우리는 하루도 빠짐없이 수많은 건축물을 이용하고 있습니다. 건축학과에서는 우리가 외부 환경으로부터 보호받고, 사용 목적과 용도에 따라 건축물을 편리하고 쉽고 편안하게 이용할 수 있도록 건축물을 설계하고 만드는 방법에 대해 배웁니다. 건축학과는 역사, 문화, 예술, 인문학적 지식과 건축 관련 전문적 지식까지 종합적인 이론과 실습을 바탕으로 건축물을 만들 수 있는 인재를 양성하는 학과입니다."
20,건축학과,226,<strong>60</strong> % 이상,"건설공사품질관리원, 건축공학기술자, 건축사, 이공학계열교수, 인테리어디자이너, 측량사, 캐드원, 건축구조기술자, 건축시공기술자, 리모델링컨설턴트","건설안전기사, 건설재료시험기사, 건축구조기술사, 건축기계정비기술사, 건축기사, 건축목재시공기능장, 건축사, 건축설비기사, 건축시공기술사, 건축일반시공기능장, 건축전기설비기술사, 도시계획기사, 수질환경기사, 실내건축기사, 지적기사, 철도보선산업기사, 토목기사",interest,"건축은 일상생활에 밀접한 관계를 갖고 있어 문화와 예술을 반영하므로, 사회현상이나 문화,예술과 관련된 분야에 폭넓은 관심을 가지고 있으면 좋습니다. 건축 공간을 상상하고 구성해 볼 수 있는 공간 지각력,과 건축물의 실내외 구성에 필요한 미술 감각, 그리고 사용 목적에 맞는 건축물을 만들기 위한 여러 분야에 대한 폭넓은 관심과 자료수집 능력이 필요합니다. 건축물을 설계하는데 필요한 다양한 프로그램을 쉽게 배울수 있도록 컴퓨터 활용능력도 갖추면 좋습니다."
20,건축학과,226,<strong>60</strong> % 이상,"건설공사품질관리원, 건축공학기술자, 건축사, 이공학계열교수, 인테리어디자이너, 측량사, 캐드원, 건축구조기술자, 건축시공기술자, 리모델링컨설턴트","건설안전기사, 건설재료시험기사, 건축구조기술사, 건축기계정비기술사, 건축기사, 건축목재시공기능장, 건축사, 건축설비기사, 건축시공기술사, 건축일반시공기능장, 건축전기설비기술사, 도시계획기사, 수질환경기사, 실내건축기사, 지적기사, 철도보선산업기사, 토목기사",property,"건축ㆍ건설 기술은 우리 생활과 삶의 방식을 기초로 빠르게 발전하여 다양화, 첨단화, 정보화되고 있습니다. 건축 설계에 따른 구조 설계, 건축 시공과 건축물의 관리까지 전 분야에 걸쳐 ICT 기술을 활용하고 있습니다. 최근에는 BIM(Building Information Modeling) 설계, 증강현실(AR)과 가상현실(VR)을 이용한 건축 설계, 3D프린터를 활용한 건축 3D모델링, 드론을 활용한 건축 측량, 사물인터넷(IoT)을 활용한 건축 공간 구성, 인공지능(AI)을 활용한 건축 법규 검토 등 최신 기술이 건축학과에 접목하여 사용되고 있습니다."
21,게임공학과,224.2,<strong>60</strong> % 이상,"게임기획자, 컴퓨터게임시나리오작가, 모바일앱개발자, 게임레벨디자이너, 게임마케터, 게임방송프로듀서, 게임방송해설가, 게임운영자, 게임테크니컬아티스트, 모바일게임QA전문가, 모바일커스터머서포트엔지니어, 비디오게임디자이너, 응용소프트웨어개발자, 컴퓨터프로그래머","e-TestProfessional, SW테스트전문가(CSTS), 전자계산기기사, 정보처리기사, 컴퓨터활용능력",summary,"모바일 게임이나 컴퓨터 게임을 해본 적이 있나요? 게임공학과는 게임을 만들기 위해 필요한 게임 기획 및 시나리오 설계, 게임 프로그래밍, 게임 그래픽 디자인, 게임 애니메이션 개발, 게임 음악 및 음향, 게임 시스템 구성 및 운영방법 등 게임 제작에 필요한 전반적인 이론을 배우고 실습을 통해 실무 능력을 갖추는데 교육목표를 두고 있습니다."
21,게임공학과,224.2,<strong>60</strong> % 이상,"게임기획자, 컴퓨터게임시나리오작가, 모바일앱개발자, 게임레벨디자이너, 게임마케터, 게임방송프로듀서, 게임방송해설가, 게임운영자, 게임테크니컬아티스트, 모바일게임QA전문가, 모바일커스터머서포트엔지니어, 비디오게임디자이너, 응용소프트웨어개발자, 컴퓨터프로그래머","e-TestProfessional, SW테스트전문가(CSTS), 전자계산기기사, 정보처리기사, 컴퓨터활용능력",interest,"PC나 모바일, 게임 기기를 이용한 게임을 좋아하고 특히 게임을 직접 개발 하는 것에 흥미를 가진 사람에게 유리합니다. 게임 소프트웨어를 개발하기 위해서는 프로그래밍 개발 언어를 배워야 하는데 이에 필요한 논리적인 사고능력과 게임기획자, 게임 디자이너와 함께 일하는 만큼 팀에서 의사소통하면서 역할을 할 수 있는 능력이 필요합니다."
21,게임공학과,224.2,<strong>60</strong> % 이상,"게임기획자, 컴퓨터게임시나리오작가, 모바일앱개발자, 게임레벨디자이너, 게임마케터, 게임방송프로듀서, 게임방송해설가, 게임운영자, 게임테크니컬아티스트, 모바일게임QA전문가, 모바일커스터머서포트엔지니어, 비디오게임디자이너, 응용소프트웨어개발자, 컴퓨터프로그래머","e-TestProfessional, SW테스트전문가(CSTS), 전자계산기기사, 정보처리기사, 컴퓨터활용능력",property,"게임공학은 스마트폰, 게임콘솔, VR기기, 컴퓨터 등 다양한 기기에서 작동하는 게임개발에 필요한 프로그래밍 방법과 게임 기획에 대해 배우게 됩니다. 게임 기획은 크게 전반적인 게임구성과 규칙을 만드는 시스템 기획자와 게임의 난이도, 사용자의 플레이 패턴 등을 기획하는 레벨기획자로 구분되기도 합니다. 게임기획부터 개발, 디자인에 이르기까지 게임과 관련된 폭넓은 지식을 배우는 것이 게임공학과의 특성이라 할 수 있습니다."
30,고분자공학과,248.5,<strong>60</strong> % 이상,"고무및플라스틱화학공학기술자, 도료및농약품화학공학기술자, 섬유공학기술자, 섬유및염료시험원, 스마트의류개발자, 재료공학기술자, 화학공학기술자, 화학연구원","고분자제품기술사, 고분자제품제조산업기사, 공업화학기사, 바이오화학제품제조기사, 재료조직평가산업기사, 화공기사, 화학분석기사",summary,"건축자재, 자동차 범퍼와 타이어, 모니터 디스플레이, 텔레비전, 세탁기, 항공기, 우주선 등 지금 눈앞에 보이는 거의 모든 물건의 재료는 고분자 물질로 구성되어 있습니다. 고분자 공학은 플라스틱, 섬유, 접착제, 페인트, 고무 등 고분자 물질의 특징과 구조에 대해 이해하고 고분자 재료의 합성, 가공, 기능화, 고성능화 방법, 각종 고분자 재료 이해, 고분자 관련 지식을 배우고 연구하는 학과입니다."
